Spanish,English
de,of
no,No
la,the
el,the
y,Y
en,in
lo,it
un,a
por,by
los,the
te,tea
con,with
para,for
mi,me
pero,but
sí,Yes
bien,right
su,its
las,the
yo,me
del,of
como,What
esto,this
ya,Already
estoy,am
muy,very
esta,is
así,So
vamos,we go
algo,something
cuando,when
estás,are
nos,us
cómo,What
o,either
he,He
tiene,have
quiero,I want
hacer,do
gracias,Thank you
era,it was
soy,am
todos,everybody
tienes,you have
creo,I think
sabes,you know
estaba,I was
puede,can
ese,that
usted,you
hola,hello
verdad,TRUE
casa,House
quién,who
sus,their
dos,two
nunca,never
dónde,where
va,goes
